episode,score,average score,time
310,291.2299511467312,102.14533330744578,2023-05-09 21:00:25.452195
311,292.6266097224094,106.82842106736285,2023-05-09 21:00:34.612862
312,228.06047575795193,108.5773448233848,2023-05-09 21:00:39.235285
313,-40.23490800849132,108.40330956410249,2023-05-09 21:00:40.319132
314,-172.61891347462802,104.06740659782861,2023-05-09 21:00:41.968683
315,25.23154462677965,101.64170947964541,2023-05-09 21:00:45.330875
316,262.4524645998016,101.48091412338157,2023-05-09 21:00:51.350802
317,231.27303183363486,101.72958553853901,2023-05-09 21:00:56.737888
318,226.57883728237556,104.22979467518897,2023-05-09 21:01:02.649840
319,255.10888182176518,104.38229984140797,2023-05-09 21:01:07.308617
320,233.8126012514897,106.48957774969898,2023-05-09 21:01:12.430080
321,186.85067961125964,105.97431447068493,2023-05-09 21:01:18.739121
322,314.80633820231094,109.28948405236112,2023-05-09 21:01:23.797870
323,139.49216571944334,108.03680206126029,2023-05-09 21:01:43.612662
324,-7.5694130325660325,105.11050494211263,2023-05-09 21:01:44.897617
325,238.10193901467096,104.92783508336875,2023-05-09 21:02:02.884592
326,-32.426515609786634,104.58824635060877,2023-05-09 21:02:04.562763
327,256.0648684305438,105.12752415853012,2023-05-09 21:02:10.618699
328,267.7743837810446,108.13566798425569,2023-05-09 21:02:15.570867
329,7.370998816853273,106.11821289090076,2023-05-09 21:02:17.062893
330,256.8647724342116,106.12142349705796,2023-05-09 21:02:24.604226
331,214.48638845233484,108.3673566026568,2023-05-09 21:02:31.030211
332,-5.450256566595328,106.0032466672904,2023-05-09 21:02:35.207625
333,211.3941890345798,105.41280860697964,2023-05-09 21:02:53.943881
334,-15.695999548933614,102.77167489798727,2023-05-09 21:02:56.199618
335,166.93848449203637,101.90734543812769,2023-05-09 21:03:05.913423
336,205.73824375331992,105.11064865435031,2023-05-09 21:03:13.315065
337,221.3990610112778,105.35001828560482,2023-05-09 21:03:18.525651
338,-17.02399452551171,108.05793709789154,2023-05-09 21:03:21.220255
339,187.60364043096016,107.86709189138062,2023-05-09 21:03:25.415216
340,184.70463333289177,108.9035886105951,2023-05-09 21:03:34.948812
341,203.99031283593405,112.10639408749881,2023-05-09 21:03:38.339934
342,215.2373432600475,117.8883389507644,2023-05-09 21:03:43.666185
343,227.37743109590588,121.90998939349836,2023-05-09 21:03:58.864215
344,221.33043534261705,122.21483030569152,2023-05-09 21:04:12.113983
345,210.32176403116202,127.10648247241244,2023-05-09 21:04:23.900724
346,108.87408905050408,129.0630519213668,2023-05-09 21:04:31.240393
347,250.60650772143964,132.39217259088738,2023-05-09 21:04:36.653348
348,30.354722843821378,135.77008986215327,2023-05-09 21:04:40.206876
349,200.02729425237692,139.33781916250138,2023-05-09 21:04:47.740766
350,-26.494125949728783,139.65889378404336,2023-05-09 21:04:49.381100
351,-33.681569852645964,137.18816539746237,2023-05-09 21:04:56.240233
352,136.39814581715297,135.86262675016638,2023-05-09 21:05:16.072398
353,-40.712530623240575,132.89943853372222,2023-05-09 21:05:17.388830
354,78.04112475012506,134.45466200509838,2023-05-09 21:05:36.801323
355,217.07351656576992,137.94207765813456,2023-05-09 21:05:50.559671
356,224.48006215721773,138.33358838796278,2023-05-09 21:05:55.258727
357,280.22486666537185,141.49656300850432,2023-05-09 21:05:58.657413
358,218.86208832178306,143.5001259000776,2023-05-09 21:06:07.142897
359,-127.47525414463269,140.09298755808766,2023-05-09 21:06:12.690386
360,-17.453591161929495,137.63301902451215,2023-05-09 21:06:17.926063
361,133.72004118944787,139.1343112202334,2023-05-09 21:06:36.918674
362,-358.27429750757886,133.37907780549978,2023-05-09 21:06:42.906476
363,266.0094138141202,138.22590720428082,2023-05-09 21:06:49.725350
364,229.79682997836844,139.54386750541218,2023-05-09 21:06:54.591692
365,211.44276065682234,139.6016406736956,2023-05-09 21:07:00.077761
366,256.26473320562184,139.43975930555607,2023-05-09 21:07:06.404397
367,219.36611902920333,139.16253019942258,2023-05-09 21:07:12.935011
368,247.54307930228853,139.59009441986782,2023-05-09 21:07:21.659280
369,10.269165621362674,137.67114758525503,2023-05-09 21:07:27.625080
370,-68.11097957927173,136.8218117028359,2023-05-09 21:07:29.454375
371,-369.7782027060005,130.92346451309587,2023-05-09 21:07:41.710862
372,257.0050660424055,131.25893594948175,2023-05-09 21:07:46.288811
373,224.3181066025078,133.472270135136,2023-05-09 21:07:55.385483
374,244.76922668988664,138.1756944194491,2023-05-09 21:08:00.456263
375,-186.07881688657648,134.09534043635875,2023-05-09 21:08:07.345517
376,191.60511454236783,133.48832131556924,2023-05-09 21:08:14.878337
377,184.42809272474574,132.46118920760946,2023-05-09 21:08:20.357574
378,251.87355367846024,132.16933041733967,2023-05-09 21:08:25.319701
379,250.76785641293617,132.68141332529638,2023-05-09 21:08:29.861883
380,55.07477118898379,130.61004037962854,2023-05-09 21:08:31.329685
381,192.77635897952217,133.1304315028264,2023-05-09 21:08:39.383379
382,252.46032132193594,133.4775295827384,2023-05-09 21:08:43.790757
383,290.4719687757905,133.90868333844364,2023-05-09 21:08:53.769121
384,261.9818653049209,134.15831396069672,2023-05-09 21:08:59.261903
385,-221.32964493923782,129.45543577513547,2023-05-09 21:09:01.568782
386,263.3387877961971,133.43911942731341,2023-05-09 21:09:10.429118
387,208.37493436693282,135.28888727890694,2023-05-09 21:09:15.357073
388,221.26450140688652,142.15266670317047,2023-05-09 21:09:21.309592
389,258.77149738925954,144.88305603388767,2023-05-09 21:09:30.017349
390,212.41600769637427,144.63070229668546,2023-05-09 21:09:37.727022
391,233.00902823628633,144.0412412120829,2023-05-09 21:09:41.246837
392,212.95931493006265,146.23448082569007,2023-05-09 21:09:48.958105
393,278.01350608329324,149.18267219585863,2023-05-09 21:09:55.835537
394,243.88401065918586,150.21807371705046,2023-05-09 21:10:00.761336
395,231.3169870142839,150.82165336574727,2023-05-09 21:10:09.465421
396,286.86647209787384,152.0336893113349,2023-05-09 21:10:12.773286
397,240.69807517728367,152.2585176505292,2023-05-09 21:10:16.698484
398,266.14315618874423,154.47782918000595,2023-05-09 21:10:22.105863
399,237.0333894362599,154.86928578201525,2023-05-09 21:10:27.119493
400,248.38540015252514,155.14838519607895,2023-05-09 21:10:31.852871
401,249.10199677135057,155.05943962383992,2023-05-09 21:10:36.793874
402,184.65947250057079,155.05500953462237,2023-05-09 21:10:42.835400
