episode,score,average score,time
346,3.877296619795871,-6.6557844883036275,2023-05-10 19:52:04.284765
347,-112.68490436019145,-7.737437708891621,2023-05-10 19:53:28.473566
348,241.99078477593557,-5.280070361442814,2023-05-10 19:54:28.265649
349,182.40146907513355,-5.279364594306223,2023-05-10 19:56:24.070522
350,216.43045645744328,-2.7002785746967275,2023-05-10 19:57:22.189696
351,163.28901891725997,-0.6639016366863458,2023-05-10 19:59:59.622019
352,-113.48494198279658,-2.0533870316484566,2023-05-10 20:00:20.298027
353,190.91196701554097,-2.5602981993803438,2023-05-10 20:01:23.920010
354,190.439564371695,-2.730008080515987,2023-05-10 20:03:34.956583
355,211.02304945780742,-2.7763051916248407,2023-05-10 20:05:08.274047
356,-49.82026281323569,-1.6765334335138775,2023-05-10 20:08:11.252593
357,89.24986290392843,1.6792897710681922,2023-05-10 20:10:43.456580
358,163.10073049835788,3.891064735384978,2023-05-10 20:13:25.802705
359,199.25598920611117,8.857905776773439,2023-05-10 20:14:05.972884
360,162.2494658031585,10.99757773057356,2023-05-10 20:15:08.897537
361,217.5506891388318,11.49965299865834,2023-05-10 20:16:00.540273
362,141.37530850508014,13.260527850744168,2023-05-10 20:17:15.794326
363,-62.98563392022851,14.559451029200096,2023-05-10 20:20:20.952533
364,215.5081239071843,19.62501298336252,2023-05-10 20:21:04.265423
365,200.11420326945478,22.794600820024794,2023-05-10 20:22:40.102947
366,9.720193762249128,20.80144118482259,2023-05-10 20:25:43.844747
367,228.98984925895635,24.055597620698308,2023-05-10 20:27:11.028930
368,17.588722170032838,22.674180966805206,2023-05-10 20:27:32.374270
369,-133.38088341475682,22.51728460128905,2023-05-10 20:27:47.579253
370,-126.60407707131773,25.582865327811415,2023-05-10 20:28:00.848390
371,209.4932156960407,25.90145399195735,2023-05-10 20:29:55.673657
372,226.5570444889595,33.58395413815627,2023-05-10 20:31:31.522032
373,-43.06136899044972,33.120475771584154,2023-05-10 20:31:59.396404
374,175.74853620013337,33.191270156378074,2023-05-10 20:34:45.058385
375,-45.872057747404554,31.590369306296942,2023-05-10 20:35:07.202047
376,80.88454711027471,32.73616362930087,2023-05-10 20:37:46.846213
377,223.72659173384963,34.934334587785955,2023-05-10 20:39:19.412254
378,310.5728539137308,39.31091333243078,2023-05-10 20:40:18.238013
379,278.53637620953714,43.755907696334326,2023-05-10 20:40:44.327499
380,192.3468689254484,45.337404996287425,2023-05-10 20:42:08.967719
381,209.00172537013634,46.94372416286316,2023-05-10 20:43:37.433371
382,-174.43653651016257,45.42765010805537,2023-05-10 20:44:01.363122
383,198.40230079213467,47.97564074488535,2023-05-10 20:45:48.104461
384,213.9334500020425,49.76569658709953,2023-05-10 20:47:29.771821
385,-30.480033516962692,50.5119641382902,2023-05-10 20:47:48.879038
386,-105.39429243426851,51.52546286514796,2023-05-10 20:48:25.548724
387,-44.687050529805894,48.6252047118314,2023-05-10 20:48:40.876412
388,228.17835713967355,53.48974691909246,2023-05-10 20:50:13.799944
389,211.10462611578214,58.65589765562508,2023-05-10 20:51:34.883359
390,203.14776360971908,63.75359765704505,2023-05-10 20:52:23.797208
391,204.85591473821097,66.46413743578698,2023-05-10 20:54:03.841899
392,272.86949058466814,71.44608911705039,2023-05-10 20:55:02.936840
393,20.04631029253774,74.26824022398945,2023-05-10 20:55:17.398230
394,-32.15432694577409,72.98987250637887,2023-05-10 20:55:47.548370
395,168.01905593797562,78.20108860340031,2023-05-10 20:57:39.905769
396,1.2683618801440844,77.09541246122203,2023-05-10 20:58:06.983434
397,205.8920051700393,79.14738127359823,2023-05-10 20:58:43.518893
398,249.93485676662658,84.97725383557871,2023-05-10 20:59:28.395666
399,21.944357038331788,85.00743999500342,2023-05-10 20:59:44.753866
400,200.01476328328874,90.21692274419007,2023-05-10 21:01:08.170033
401,-66.09749885176514,89.24104757993514,2023-05-10 21:01:19.781263
402,239.94104507839776,89.72613674994844,2023-05-10 21:02:02.548171
403,-29.58754310227512,89.76230689566141,2023-05-10 21:02:25.626135
404,220.0640162350295,89.93333954736605,2023-05-10 21:03:46.112329
405,-62.159929332080175,90.49557937638572,2023-05-10 21:04:04.658486
406,200.42602367650596,90.50903329045815,2023-05-10 21:05:49.732294
407,208.06578850825593,91.15384164702988,2023-05-10 21:07:42.767469
408,201.59160712112762,93.40138582579921,2023-05-10 21:09:06.521739
409,249.62270747898998,94.48087133978328,2023-05-10 21:10:06.003124
410,241.37516888199175,99.73062890257559,2023-05-10 21:10:51.628422
411,223.6924467773488,100.6702331690575,2023-05-10 21:11:43.543396
412,-15.764116848325699,102.13511762543605,2023-05-10 21:11:56.479715
413,-13.758922084733811,101.66889580022267,2023-05-10 21:12:16.163165
414,203.6033015703079,105.02666275053733,2023-05-10 21:13:42.855821
415,6.420124727392022,106.28817436113395,2023-05-10 21:13:57.817082
416,202.42237230966583,106.13799881900817,2023-05-10 21:15:36.666821
417,1.7116419090312576,106.88951304956502,2023-05-10 21:15:51.894826
418,198.35515474692414,111.39830947436921,2023-05-10 21:17:08.152014
419,173.36823005608272,112.60005175015553,2023-05-10 21:19:08.670582
420,205.5656939838629,112.86573017591486,2023-05-10 21:21:12.669393
421,212.06485239201243,115.61653376865979,2023-05-10 21:21:57.629178
422,-153.20262885660938,114.61342382977645,2023-05-10 21:22:12.079389
423,-38.75759145417663,114.65684442111487,2023-05-10 21:22:31.362825
424,233.245687762145,114.94180426281578,2023-05-10 21:23:49.881860
425,13.528688001010622,116.43968596535191,2023-05-10 21:24:03.948740
426,203.143899507477,117.26185032873882,2023-05-10 21:24:44.298119
427,-145.00262301877376,114.39098981812334,2023-05-10 21:25:01.744794
428,-81.61906911746317,112.63017962790505,2023-05-10 21:25:15.645505
429,-120.9786430568497,111.99495268171944,2023-05-10 21:25:31.201524
430,192.39767473025213,114.61000329795475,2023-05-10 21:26:56.477957
431,198.95690412327826,116.1862437978436,2023-05-10 21:27:47.069600
432,-88.6016434714692,113.71921249008774,2023-05-10 21:28:12.659297
